t_ms,ibi_ms_ecg1,ibi_ms_ecg2
445000,797.9808,695.3392
445500,743.1051,746.4282
446000,723.9666,805.8007
446500,725.8306,841.5358
447000,741.0823,859.8329
447500,780.3343,863.9167
448000,830.2849,851.4386
448500,879.8935,813.3891
449000,917.0744,756.3133
449500,894.4881,713.9355
450000,806.0735,699.3751
450500,760.9208,706.6295
451000,784.967,714.4309
451500,785.8659,644.8079
452000,774.8175,679.3475
452500,779.1317,1148.457
453000,776.9709,1296.4774
453500,766.1762,952.923
454000,756.4533,608.5495
454500,750.8569,588.7276
455000,734.753,620.7806
455500,701.2883,604.783
456000,694.6975,590.155
456500,702.1246,604.1057
457000,696.1479,631.64
457500,702.8822,657.9533
458000,709.2644,664.6371
458500,716.793,675.9087
459000,742.5136,712.8601
459500,734.8827,762.5757
460000,710.9539,816.6542
460500,718.1416,846.4752
461000,716.4017,831.047
461500,731.0772,819.5375
462000,782.6103,826.8908
462500,800.2174,809.0497
463000,802.2009,767.7859
463500,819.8056,731.1943
464000,822.3816,725.6561
464500,810.2029,728.8758
465000,804.2131,705.7452
465500,795.6905,702.2804
466000,779.6645,717.052
466500,766.6948,740.3328
467000,755.3931,816.6603
467500,737.8504,896.0505
468000,708.7386,929.7108
468500,687.4661,941.5321
469000,686.3135,944.863
469500,677.4526,938.0479
470000,658.1219,915.101
470500,648.3565,870.8014
471000,661.8214,822.4927
471500,671.6607,789.498
472000,684.3562,758.041
472500,723.3987,715.4954
473000,791.4699,666.2503
473500,841.3349,632.1196
474000,848.2421,626.5949
474500,817.6552,654.9214
475000,792.9924,741.5636
475500,781.8127,822.7786
476000,748.9666,850.05
476500,718.928,833.4791
477000,711.6043,830.0073
477500,696.35,867.2367
478000,681.9988,895.0177
478500,680.027,898.4654
479000,677.2564,890.7846
479500,653.565,848.9212
480000,640.6813,758.4591
480500,654.3164,686.3898
481000,654.111,664.7774
481500,674.784,654.8798
482000,721.7228,659.6219
482500,766.7698,697.6698
483000,783.6663,755.1146
483500,788.0874,783.9965
484000,795.179,843.3799
484500,803.015,931.314
485000,777.7552,944.5114
485500,724.4668,911.9787
486000,713.3976,907.3274
486500,715.1966,906.6294
487000,697.1534,871.0367
487500,700.6769,813.0452
488000,707.0926,757.0331
488500,701.5024,727.5837
489000,695.5753,697.7907
489500,691.9081,644.0551
490000,696.7718,639.8445
490500,715.3151,640.5864
491000,746.2897,638.0821
491500,799.8835,707.2772
492000,866.6844,810.2433
492500,913.4344,862.365
493000,922.3534,848.837
493500,892.1313,837.7357
494000,848.1835,835.59
494500,813.0422,822.9261
495000,797.2163,804.4289
495500,795.9898,773.5972
496000,794.825,711.0444
496500,784.3128,663.8473
497000,766.7604,663.6857
497500,754.6525,661.6199
498000,737.4462,669.8273
498500,716.9596,705.903
499000,727.7323,743.2461
499500,756.3068,720.0772
500000,770.5172,693.3073
500500,752.9446,697.9732
501000,734.306,687.6467
501500,728.0533,662.07
502000,704.4268,647.4439
502500,689.9518,670.9677
503000,694.0024,731.4745
503500,687.8581,780.6074
504000,687.8292,800.9402
504500,699.8179,807.7742
505000,715.9147,806.6502
505500,732.4869,797.9737
506000,754.9359,781.3446
506500,780.8428,770.7723
507000,796.8639,768.7734
507500,799.4223,750.6489
508000,794.5818,729.243
508500,794.5073,724.3458
509000,789.8082,722.9216
509500,770.7103,733.1502
510000,749.8198,746.1535
510500,739.8179,711.226
511000,736.9855,670.4628
511500,699.1989,663.9367
512000,651.1899,669.2114
512500,643.1472,679.5075
513000,649.1327,715.6503
513500,647.6623,781.804
514000,644.1347,833.8976
514500,653.4272,851.345
515000,678.5508,838.6522
515500,735.171,823.3811
516000,806.1067,814.289
516500,861.4018,802.274
517000,893.2328,765.6578
517500,893.1564,711.2259
518000,860.1754,687.7658
518500,837.2682,689.4607
519000,853.733,690.0414
519500,873.1642,677.8175
520000,874.1126,656.7307
520500,861.6259,652.5017
521000,843.8609,658.5272
521500,822.4159,625.9574
522000,770.2566,662.7972
522500,701.5897,718.1077
523000,693.9853,757.6591
523500,702.0452,883.2243
524000,680.9288,954.1322
524500,676.8994,916.0913
525000,685.2322,869.632
525500,693.6375,834.8194
526000,689.6964,776.2375
526500,655.894,738.5172
527000,648.1287,768.9112
527500,673.6986,835.7717
528000,684.4563,907.18
528500,696.9081,955.8673
529000,702.6895,947.4258
529500,699.9643,882.8044
530000,701.986,823.1153
530500,698.4213,802.1414
531000,686.3305,808.5683
531500,671.608,815.8057
532000,657.9263,797.6254
532500,631.6177,750.4705
533000,616.5771,698.8328
533500,632.1206,678.3335
534000,630.9528,655.5279
534500,635.5625,668.7811
535000,679.6047,758.4715
535500,738.3717,796.9568
536000,765.8004,803.6442
536500,791.6218,835.3413
537000,809.0669,902.2565
